id,sexo,fechnac,educ,catlab,salario_actual,salario_inicial,antiguedad,experiencia,minoría,directivo
205,1,6/22/1944,16,3,66750,52500,83,258,0,1
206,1,5/22/1943,12,2,33750,15000,83,284,0,0
207,1,2/15/1959,15,1,27300,17250,83,91,0,0
208,0,11/28/1968,12,1,24000,11250,83,16,0,0
209,0,1/14/1934,8,1,19800,10200,83,75,0,0
210,1,5/4/1949,15,1,30600,16500,83,216,1,0
211,1,11/8/1950,15,1,28950,15000,83,108,1,0
212,1,5/14/1965,15,1,38400,16500,83,64,1,0
213,1,10/20/1945,8,2,30750,15000,83,302,1,0
214,0,9/13/1968,12,1,20400,10950,83,9,1,0
215,0,9/15/1968,12,1,19200,11100,83,7,1,0
216,1,5/16/1964,15,1,30150,15750,82,72,0,0
217,1,3/15/1949,16,1,34620,27750,82,149,0,0
218,1,3/21/1964,15,1,80000,15750,82,34,0,0
219,1,2/2/1963,12,1,25350,15000,82,32,0,0
220,1,8/17/1963,12,1,29850,15750,82,85,0,0
221,0,5/22/1947,12,1,24000,13800,82,97,0,0
222,0,9/15/1935,15,1,27750,19500,82,265,0,0
223,0,3/14/1942,8,1,22350,10200,82,48,0,0
224,0,11/20/1934,12,1,16200,10200,82,0,0,0
225,0,10/13/1967,15,1,21900,12750,82,0,0,0
226,0,6/21/1964,16,1,23250,15750,82,4,0,0
227,0,7/17/1965,12,1,33900,12000,82,11,0,0
228,0,9/21/1963,15,1,25650,14250,82,51,0,0
229,0,8/21/1940,12,1,17250,10200,82,358,0,0
230,1,2/4/1934,15,1,22500,15000,82,371,1,0
231,1,1/9/1965,16,3,40200,21000,81,3,0,1
232,1,9/13/1963,19,3,55500,33750,81,62,0,1
233,1,7/21/1963,15,1,26550,15000,81,52,0,0
234,1,11/12/1960,15,1,50550,19500,81,44,0,0
235,1,9/11/1962,19,3,75000,31500,81,13,0,1
236,0,5/2/1969,8,1,27450,12000,81,9,0,0
237,0,6/4/1969,12,1,22650,11250,81,0,0,0
238,0,6/15/1969,12,1,27300,11250,81,5,0,0
239,0,9/14/1969,12,1,27750,11225,81,5,0,0
240,0,6/15/1961,16,3,54375,18750,81,81,0,1
241,0,8/27/1936,8,1,17400,10200,81,390,0,0
242,0,11/3/1967,12,1,40800,18000,81,4,0,0
243,0,2/10/1969,12,1,23100,10950,81,0,0,0
244,0,9/15/1969,8,1,22500,10950,81,5,0,0
245,0,3/16/1969,12,1,26700,11550,81,18,0,0
246,0,1/14/1968,12,1,24900,11250,81,0,0,0
247,0,5/13/1968,12,1,19650,10950,81,11,0,0
248,0,4/9/1969,12,1,22050,10950,81,9,0,0
249,0,5/9/1969,12,1,25500,12000,81,11,0,0
250,0,10/10/1966,15,1,28200,12750,81,19,0,0
251,0,1/19/1969,12,1,23100,11250,81,13,0,0
252,1,9/18/1969,12,1,25500,11400,81,9,1,0
253,0,2/21/1942,8,1,17100,10200,81,0,1,0
254,1,2/8/1964,18,3,68125,32490,80,29,0,1
255,1,8/15/1932,12,2,30600,15750,80,460,0,0
256,1,1/3/1948,19,3,52125,27480,80,221,0,1
257,1,9/24/1951,19,3,61875,36750,80,199,0,1
258,1,3/9/1969,8,1,21300,11550,80,24,0,0
259,0,3/15/1969,12,1,19650,11250,80,5,0,0
260,0,2/20/1969,12,1,22350,11250,80,5,0,0
261,0,3/27/1969,12,1,23400,11250,80,18,0,0
262,0,6/20/1968,12,1,24300,10950,80,8,0,0
263,0,10/13/1968,12,1,28500,11250,80,4,0,0
264,0,1/16/1969,12,1,19950,11250,80,8,0,0
265,0,9/24/1969,12,1,23400,11250,80,0,0,0
266,0,10/7/1963,16,1,34500,17250,80,3,0,0
267,0,8/24/1969,12,1,18150,10950,80,0,0,0
268,1,5/16/1936,12,1,22350,15000,80,272,1,0
269,1,3/17/1966,15,1,40200,17250,79,38,0,0
270,1,10/29/1947,15,1,28650,18000,79,261,0,0
271,1,8/24/1963,15,1,27750,16500,79,55,0,0
272,1,6/17/1964,18,1,66875,31980,79,30,0,0
273,1,11/12/1939,12,2,30000,15750,79,308,0,0
274,1,8/4/1964,16,3,83750,21750,79,12,0,1
275,1,1/14/1963,12,1,33900,16500,79,94,0,0
276,1,5/11/1965,16,3,56500,21000,79,12,0,1
277,0,5/20/1965,16,3,43000,17490,79,20,0,1
278,0,6/12/1943,8,1,20850,12000,79,70,0,0
279,0,4/16/1969,12,1,24450,12000,79,8,0,0
280,0,10/20/1969,12,1,24750,10950,79,5,0,0
281,1,2/18/1945,8,2,34500,15750,79,246,1,0
282,1,9/15/1963,14,1,27900,15000,79,47,1,0
283,1,2/25/1963,19,3,68125,32010,78,35,0,1
284,1,10/10/1961,19,3,73500,33000,78,45,0,1
285,1,5/28/1930,8,2,30750,15750,78,429,0,0
286,1,3/7/1958,15,3,40050,25500,78,133,0,1
287,1,1/18/1965,16,1,40350,19500,78,20,0,0
288,1,1/22/1955,15,3,38700,23730,78,176,0,1
289,1,10/27/1964,17,3,65000,30750,78,26,0,1
290,1,4/5/1954,18,3,51450,36240,78,149,0,1
291,1,9/23/1934,12,2,35250,15750,78,387,0,0
292,1,5/7/1963,14,1,25950,15000,78,53,0,0
293,1,9/19/1965,15,1,25050,14250,78,24,0,0
294,1,10/10/1968,12,1,26700,12750,78,25,0,0
295,1,8/20/1932,8,1,24000,15750,78,476,0,0
296,1,2/12/1964,12,1,26850,15000,78,48,0,0
297,0,4/16/1942,12,1,23400,15300,78,209,0,0
298,0,8/24/1966,12,1,24600,13500,78,47,0,0
299,0,5/11/1965,15,1,32550,18000,78,6,0,0
300,1,5/26/1960,16,1,26550,15000,78,105,1,0
301,1,8/4/1968,12,1,31500,13500,78,7,1,0
302,1,9/28/1939,8,1,22350,15000,78,320,1,0
303,1,2/10/1938,12,2,35250,15750,78,281,1,0
304,0,9/28/1945,15,1,25800,13500,78,51,1,0
305,1,10/25/1941,12,2,30750,15750,77,317,0,0
306,1,4/5/1966,15,1,30750,16500,77,41,0,0
307,1,7/24/1945,16,3,50000,32490,77,264,0,1
308,1,2/1/1963,15,1,34500,18000,77,63,0,0
309,1,7/19/1964,15,1,26250,15750,77,38,0,0
310,1,3/23/1964,16,1,44875,21240,77,22,0,0
311,0,2/15/1951,12,1,22500,12000,77,63,0,0
312,0,3/12/1963,12,1,25650,14250,77,64,0,0
313,0,10/25/1969,12,1,21300,11250,77,0,0,0
314,0,11/24/1966,12,1,29850,13500,77,38,0,0
315,0,9/19/1969,12,1,34500,12150,77,4,0,0
316,1,1/14/1960,15,1,27750,15000,77,52,1,0
317,1,2/27/1969,12,1,27750,11550,77,12,1,0
318,1,2/19/1961,16,3,48750,21990,76,61,0,1
319,1,3/2/1966,15,1,43410,15750,76,12,0,0
320,1,11/10/1936,12,1,22050,15000,76,385,0,0
321,0,10/26/1953,12,1,22050,12000,76,6,0,0
322,0,3/2/1938,12,1,22500,14250,76,90,0,0
323,0,5/13/1967,15,1,25500,12000,76,7,0,0
324,0,10/14/1966,12,1,29160,15000,76,22,0,0
325,0,11/4/1934,8,1,16800,10200,76,76,0,0
326,1,7/24/1958,8,2,29550,15750,76,144,1,0
327,1,3/2/1965,12,1,26700,15750,76,18,1,0
328,1,10/25/1952,18,3,55000,32490,75,125,0,1
329,1,8/24/1958,18,3,62500,34980,75,74,0,1
330,1,5/9/1959,15,1,27300,17250,75,132,0,0
331,0,2/4/1942,12,1,24450,12000,75,144,0,0
332,0,5/10/1964,16,1,33000,18000,75,26,0,0
333,0,1/26/1965,15,1,37050,18000,75,5,0,0
334,0,5/9/1966,12,1,24450,10950,75,32,1,0
335,1,2/26/1930,8,2,31950,15750,74,408,0,0
336,1,1/10/1964,16,3,47250,21240,74,45,0,1
337,0,1/27/1970,12,1,26100,11550,74,2,0,0
338,0,8/12/1938,8,1,15900,10200,74,43,0,0
339,0,11/7/1942,8,1,23700,10650,74,281,0,0
340,0,5/6/1934,8,1,21750,12450,74,318,0,0
341,1,1/20/1945,12,3,59400,33750,74,272,1,1
342,0,6/1/1948,12,1,24450,14250,74,117,1,0
343,1,6/9/1953,16,3,103500,60000,73,150,0,1
344,1,10/13/1963,12,1,35700,16500,73,72,0,0
345,0,5/5/1969,12,1,22200,16500,73,7,0,0
346,0,8/16/1968,15,1,22950,13950,73,22,0,0
347,0,8/10/1944,12,1,23100,12000,73,228,0,0
348,0,6/11/1962,16,3,56750,30000,73,15,0,1
349,0,3/22/1938,17,1,29100,12750,73,375,0,0
350,0,4/21/1939,12,1,37650,15750,73,132,0,0
351,0,1/27/1966,12,1,27900,13500,73,32,0,0
352,0,11/26/1933,8,1,21150,12000,73,159,0,0
353,1,3/10/1955,12,2,31200,15750,73,155,1,0
354,0,5/8/1946,12,1,20550,11250,73,154,1,0
355,1,5/19/1961,15,1,25950,17250,72,83,0,0
356,1,11/10/1965,15,1,28350,15000,72,48,0,0
357,0,1/18/1932,8,1,17700,10200,72,184,0,0
358,0,4/11/1944,15,1,23550,13500,72,49,0,0
359,0,6/12/1941,12,1,19950,10200,72,56,0,0
360,0,8/11/1968,12,1,29400,15300,72,30,0,0
361,0,6/9/1966,12,1,28800,13950,72,18,0,0
362,0,4/8/1937,8,1,16950,10200,72,319,0,0
363,1,6/3/1954,16,1,35700,18000,72,138,1,0
364,0,3/26/1947,12,1,17400,10200,72,116,1,0
365,0,10/16/1948,8,1,21450,10200,72,194,1,0
366,0,3/21/1961,12,1,24750,12000,72,68,1,0
367,0,5/22/1942,12,1,16950,10200,72,271,1,0
368,0,7/20/1943,12,1,26100,13500,72,169,1,0
369,1,11/14/1967,14,1,28050,15000,71,15,0,0
370,0,1/20/1963,16,1,36600,18000,71,12,0,0
371,0,4/5/1966,16,3,58125,18000,71,11,0,1
372,1,8/22/1935,15,1,21300,15750,70,372,0,0
373,1,10/29/1949,12,1,22500,16500,70,216,0,0
374,1,7/26/1967,15,1,29400,15750,70,15,0,0
375,1,10/8/1966,12,1,27450,14700,70,41,0,0
376,1,10/9/1964,15,1,29850,15750,70,48,0,0
377,1,11/29/1965,15,1,25350,15750,70,56,0,0
378,0,9/21/1930,8,1,15750,10200,70,275,0,0
379,0,5/12/1938,8,1,19650,13050,70,102,0,0
380,0,2/22/1941,12,1,21000,13500,70,82,0,0
381,1,7/15/1946,17,1,27000,18000,70,192,1,0
382,1,10/20/1959,12,1,24000,15750,70,120,1,0
383,1,6/3/1961,17,3,78500,28740,70,67,1,1
384,0,11/11/1955,12,1,20850,13050,70,127,1,0
385,1,10/1/1930,12,2,30000,15750,69,348,0,0
386,1,8/18/1934,8,2,28500,15750,69,174,0,0
387,1,2/3/1965,19,3,65000,31980,69,74,0,1
388,1,1/2/1959,14,1,30150,16500,69,110,0,0
389,1,4/15/1959,19,3,66875,32490,69,81,0,1
390,0,11/9/1968,15,1,24150,13500,69,7,0,0
391,0,1/12/1969,12,1,24450,12450,69,12,0,0
392,0,5/12/1970,12,1,21600,12000,69,0,0,0
393,0,6/24/1969,12,1,27900,12450,69,0,0,0
394,0,2/4/1970,8,1,29100,12450,69,17,0,0
395,0,3/9/1970,12,1,22650,11250,69,2,0,0
396,0,8/17/1970,12,1,20850,11250,69,0,0,0
397,0,1/17/1970,12,1,22950,12300,69,5,0,0
398,0,11/21/1970,12,1,30600,12450,69,5,0,0
399,0,2/6/1970,12,1,20400,11250,69,0,0,0
400,0,8/6/1969,12,1,23850,12750,69,20,0,0
401,0,3/14/1970,12,1,22800,11250,69,0,0,0
402,0,2/7/1970,12,1,20700,11250,69,2,0,0
403,0,4/28/1970,12,1,21300,11250,69,3,1,0
404,0,5/1/1953,12,1,24300,15000,69,121,1,0
405,0,7/12/1944,12,1,19650,13950,69,133,1,0
406,1,10/5/1965,17,3,60000,32490,68,17,0,1
407,1,9/6/1965,15,1,30300,15750,68,55,0,0
408,1,2/12/1964,19,3,61250,33000,68,9,0,1
409,1,11/21/1962,19,1,36000,19500,68,21,0,0
410,0,1/9/1942,8,1,25200,18750,68,344,0,0
411,0,8/21/1931,12,1,16200,10200,68,180,0,0
412,0,6/16/1970,12,1,22800,11250,68,2,0,0
413,0,3/13/1966,16,3,43500,19500,68,11,0,1
414,1,1/8/1961,8,2,30300,15750,68,155,1,0
415,1,5/2/1963,15,1,31950,15750,68,70,1,0
416,1,1/16/1965,15,1,35250,13500,67,6,0,0
417,1,7/22/1967,15,1,37800,15000,67,36,0,0
418,1,6/5/1965,15,1,31200,15750,67,46,0,0
419,1,10/20/1964,15,1,29400,16500,67,68,0,0
420,1,7/16/1957,19,3,70000,35040,67,75,0,1
421,1,11/1/1961,15,1,33900,15750,67,96,0,0
422,1,7/20/1963,15,1,27150,16500,67,78,0,0
423,0,4/26/1936,12,1,22200,13800,67,196,0,0
424,0,7/6/1966,15,1,31350,11100,67,47,0,0
425,0,1/26/1942,12,1,20850,13500,67,181,0,0
426,1,10/27/1952,16,1,33300,17490,67,120,1,0
427,1,4/21/1942,8,1,26250,16050,67,97,1,0
428,1,2/28/1964,15,1,31950,15750,67,58,1,0
429,1,8/13/1946,8,2,30000,15750,67,305,1,0
430,1,4/29/1956,19,3,66250,34980,67,99,1,1
431,1,1/15/1959,18,3,86250,45000,66,50,0,1
432,1,3/12/1964,12,1,30750,15000,66,56,0,0
433,1,11/15/1966,12,1,33540,15750,66,47,0,0
434,1, ,16,1,34950,20250,66,55,0,0
435,1,5/24/1964,15,1,40350,16500,66,80,0,0
436,1,5/27/1965,12,1,30270,15750,66,80,0,0
437,1,9/4/1933,8,1,26250,16050,66,264,0,0
438,1,10/11/1964,15,1,32400,15000,66,64,0,0
439,0,6/25/1970,12,1,20400,11250,66,0,0,0
440,0,11/10/1947,8,1,24150,12750,66,96,0,0
441,0,8/2/1949,15,1,23850,13500,66,122,0,0
442,0,9/18/1968,12,1,29700,13500,66,26,0,0
443,0,2/10/1929,8,1,21600,13500,66,228,0,0
444,0,9/16/1961,12,1,24450,15750,66,87,0,0
445,1,8/4/1963,15,1,28050,16500,66,84,1,0
446,1,8/3/1958,16,3,100000,44100,66,128,1,1
447,1,7/2/1961,15,1,49000,20550,66,86,1,0
448,0,6/5/1933,12,1,16350,10200,66,163,1,0
449,1,1/2/1966,16,3,70000,21750,65,19,0,1
450,1,7/21/1954,19,3,55000,34980,65,129,0,1
451,1,7/19/1969,15,1,28500,14250,65,20,0,0
452,1,8/13/1953,12,1,28800,18000,65,210,0,0
453,1,8/7/1930,15,1,24450,15750,65,338,0,0
454,1,7/28/1965,19,3,90625,31250,65,18,0,1
455,1,1/17/1964,16,3,43650,19500,65,19,0,1
456,1,10/17/1959,19,3,75000,42510,65,54,0,1
457,1,5/27/1968,15,1,31650,14250,65,10,0,0
458,1,7/6/1965,19,3,61875,28740,65,26,0,1
459,0,2/10/1971,12,1,21750,11250,65,0,0,0
460,0,8/12/1969,12,1,22500,12750,65,24,0,0
461,0,11/8/1943,8,1,21600,13500,65,173,0,0
462,0,10/18/1963,16,3,34410,19500,65,79,0,1
463,0,10/15/1934,15,1,20700,14250,65,241,0,0
464,1,3/20/1962,19,3,47550,33000,64,27,0,1
465,1,7/20/1962,12,1,33900,16500,64,106,0,0
466,0,6/15/1948,12,1,23400,13500,64,198,0,0
467,0,8/18/1967,16,1,32850,19500,64,20,0,0
468,0,11/28/1965,16,3,55750,19980,64,36,0,1
469,0,6/1/1964,15,1,25200,13950,64,57,0,0
470,1,1/22/1964,12,1,26250,15750,64,69,1,0
471,1,8/3/1966,15,1,26400,15750,64,32,1,0
472,1,2/21/1966,15,1,39150,15750,63,46,0,0
473,0,11/25/1937,12,1,21450,12750,63,139,0,0
474,0,11/5/1968,12,1,29400,14250,63,9,0,0
